Symbol,CompanyName,YahooSymbol,Exchange,Country
ARION SDB,Arion Banki SDB,ARION-SDB.ST,Nasdaq Stockholm / Sweden,Sweden
ARJO B,Arjo B,ARJO-B.ST,Nasdaq Stockholm / Sweden,Sweden
ARP,Arctic Paper,ARP.ST,Nasdaq Stockholm / Sweden,Sweden
ARPL,Arla Plast,ARPL.ST,Nasdaq Stockholm / Sweden,Sweden
ASKER,Asker Healthcare Group,ASKER.ST,Nasdaq Stockholm / Sweden,Sweden
ASMDEE B,Asmodee Group B,ASMDEE-B.ST,Nasdaq Stockholm / Sweden,Sweden
ASSA B,ASSA ABLOY B,ASSA-B.ST,Nasdaq Stockholm / Sweden,Sweden
ATCO A,Atlas Copco A,ATCO-A.ST,Nasdaq Stockholm / Sweden,Sweden
ATCO B,Atlas Copco B,ATCO-B.ST,Nasdaq Stockholm / Sweden,Sweden
ATIC,Actic Group,ATIC.ST,Nasdaq Stockholm / Sweden,Sweden
ATORX,Alligator Bioscience,ATORX.ST,Nasdaq Stockholm / Sweden,Sweden
ATRLJ B,Atrium Ljungberg B,ATRLJ-B.ST,Nasdaq Stockholm / Sweden,Sweden
ATT,Attendo,ATT.ST,Nasdaq Stockholm / Sweden,Sweden
AVARDA,Avarda Bank,AVARDA.ST,Nasdaq Stockholm / Sweden,Sweden
AXFO,Axfood,AXFO.ST,Nasdaq Stockholm / Sweden,Sweden
AZA,Avanza Bank Holding,AZA.ST,Nasdaq Stockholm / Sweden,Sweden
AZN,AstraZeneca,AZN.ST,Nasdaq Stockholm / Sweden,Sweden
B3,B3 Consulting Group,B3.ST,Nasdaq Stockholm / Sweden,Sweden
BACTI B,Bactiguard Holding B,BACTI-B.ST,Nasdaq Stockholm / Sweden,Sweden
BALCO,Balco Group,BALCO.ST,Nasdaq Stockholm / Sweden,Sweden
BALD B,Fast. Balder B,BALD-B.ST,Nasdaq Stockholm / Sweden,Sweden
BEGR,BE Group,BEGR.ST,Nasdaq Stockholm / Sweden,Sweden
BEIA B,Beijer Alma B,BEIA-B.ST,Nasdaq Stockholm / Sweden,Sweden
BEIJ B,Beijer Ref B,BEIJ-B.ST,Nasdaq Stockholm / Sweden,Sweden
BERG B,Bergman & Beving B,BERG-B.ST,Nasdaq Stockholm / Sweden,Sweden
BERNER B,Berner Industrier B,BERNER-B.ST,Nasdaq Stockholm / Sweden,Sweden
BESQAB,Besqab,BESQAB.ST,Nasdaq Stockholm / Sweden,Sweden
BESQAB PREF B,Besqab Pref B,BESQAB-PREF-B.ST,Nasdaq Stockholm / Sweden,Sweden
BETCO,Better Collective,BETCO.ST,Nasdaq Stockholm / Sweden,Sweden
BETS B,Betsson B,BETS-B.ST,Nasdaq Stockholm / Sweden,Sweden
BHG,BHG Group,BHG.ST,Nasdaq Stockholm / Sweden,Sweden
BICO,BICO Group,BICO.ST,Nasdaq Stockholm / Sweden,Sweden
BILI A,Bilia A,BILI-A.ST,Nasdaq Stockholm / Sweden,Sweden
BILL,Billerud,BILL.ST,Nasdaq Stockholm / Sweden,Sweden
BINV,BioInvent International,BINV.ST,Nasdaq Stockholm / Sweden,Sweden
BIOA B,BioArctic B,BIOA-B.ST,Nasdaq Stockholm / Sweden,Sweden
BIOG B,BioGaia B,BIOG-B.ST,Nasdaq Stockholm / Sweden,Sweden
BMAX,Byggmax Group,BMAX.ST,Nasdaq Stockholm / Sweden,Sweden
BOL,Boliden,BOL.ST,Nasdaq Stockholm / Sweden,Sweden
BONAV A,Bonava A,BONAV-A.ST,Nasdaq Stockholm / Sweden,Sweden
BONAV B,Bonava B,BONAV-B.ST,Nasdaq Stockholm / Sweden,Sweden
BONEX,BONESUPPORT HOLDING,BONEX.ST,Nasdaq Stockholm / Sweden,Sweden
BONG,Bong,BONG.ST,Nasdaq Stockholm / Sweden,Sweden
BOOZT,Boozt,BOOZT.ST,Nasdaq Stockholm / Sweden,Sweden
BORG,Björn Borg,BORG.ST,Nasdaq Stockholm / Sweden,Sweden
BOUL,Boule Diagnostics,BOUL.ST,Nasdaq Stockholm / Sweden,Sweden
BRAV,Bravida Holding,BRAV.ST,Nasdaq Stockholm / Sweden,Sweden
BRIN B,Brinova Fastigheter B,BRIN-B.ST,Nasdaq Stockholm / Sweden,Sweden
BTS B,BTS Group B,BTS-B.ST,Nasdaq Stockholm / Sweden,Sweden
BUFAB,Bufab,BUFAB.ST,Nasdaq Stockholm / Sweden,Sweden
BULTEN,Bulten,BULTEN.ST,Nasdaq Stockholm / Sweden,Sweden
BURE,Bure Equity,BURE.ST,Nasdaq Stockholm / Sweden,Sweden
CAMX,Camurus,CAMX.ST,Nasdaq Stockholm / Sweden,Sweden
CANTA,Cantargia,CANTA.ST,Nasdaq Stockholm / Sweden,Sweden
CARA,Carasent,CARA.ST,Nasdaq Stockholm / Sweden,Sweden
CAST,Castellum,CAST.ST,Nasdaq Stockholm / Sweden,Sweden
CAT A,Catella A,CAT-A.ST,Nasdaq Stockholm / Sweden,Sweden
CAT B,Catella B,CAT-B.ST,Nasdaq Stockholm / Sweden,Sweden
CATE,Catena,CATE.ST,Nasdaq Stockholm / Sweden,Sweden
CCC,Cavotec Group,CCC.ST,Nasdaq Stockholm / Sweden,Sweden
CEVI,CellaVision,CEVI.ST,Nasdaq Stockholm / Sweden,Sweden
CIBUS,Cibus Real Estate,CIBUS.ST,Nasdaq Stockholm / Sweden,Sweden
CINPHA,Cinclus Pharma Holding,CINPHA.ST,Nasdaq Stockholm / Sweden,Sweden
CINT,Cint Group,CINT.ST,Nasdaq Stockholm / Sweden,Sweden
CLA B,Cloetta B,CLA-B.ST,Nasdaq Stockholm / Sweden,Sweden
CLAS B,Clas Ohlson B,CLAS-B.ST,Nasdaq Stockholm / Sweden,Sweden
CNCJO B,Concejo B,CNCJO-B.ST,Nasdaq Stockholm / Sweden,Sweden
COOR,Coor Service Management Hold.,COOR.ST,Nasdaq Stockholm / Sweden,Sweden
CORE A,Corem Property Group A,CORE-A.ST,Nasdaq Stockholm / Sweden,Sweden
CORE B,Corem Property Group B,CORE-B.ST,Nasdaq Stockholm / Sweden,Sweden
CORE D,Corem Property Group D,CORE-D.ST,Nasdaq Stockholm / Sweden,Sweden
CORE PREF,Corem Property Group Pref,CORE-PREF.ST,Nasdaq Stockholm / Sweden,Sweden
CRAD B,C-RAD B,CRAD-B.ST,Nasdaq Stockholm / Sweden,Sweden
CRED A,Creades A,CRED-A.ST,Nasdaq Stockholm / Sweden,Sweden
CTEK,CTEK,CTEK.ST,Nasdaq Stockholm / Sweden,Sweden
CTM,Catena Media,CTM.ST,Nasdaq Stockholm / Sweden,Sweden
CTT,CTT Systems,CTT.ST,Nasdaq Stockholm / Sweden,Sweden
DEDI,Dedicare B,DEDI.ST,Nasdaq Stockholm / Sweden,Sweden
DIOS,Diös Fastigheter,DIOS.ST,Nasdaq Stockholm / Sweden,Sweden
DOM,Dometic Group,DOM.ST,Nasdaq Stockholm / Sweden,Sweden
DUNI,Duni,DUNI.ST,Nasdaq Stockholm / Sweden,Sweden
DURC B,Duroc B,DURC-B.ST,Nasdaq Stockholm / Sweden,Sweden
DUST,Dustin Group,DUST.ST,Nasdaq Stockholm / Sweden,Sweden
DYVOX,Dynavox Group,DYVOX.ST,Nasdaq Stockholm / Sweden,Sweden
EAST,Eastnine,EAST.ST,Nasdaq Stockholm / Sweden,Sweden
EG7,Enad Global 7,EG7.ST,Nasdaq Stockholm / Sweden,Sweden
EGTX,Egetis Therapeutics,EGTX.ST,Nasdaq Stockholm / Sweden,Sweden
EKTA B,Elekta B,EKTA-B.ST,Nasdaq Stockholm / Sweden,Sweden
ELAN B,Elanders B,ELAN-B.ST,Nasdaq Stockholm / Sweden,Sweden
ELON,Elon,ELON.ST,Nasdaq Stockholm / Sweden,Sweden
ELTEL,Eltel,ELTEL.ST,Nasdaq Stockholm / Sweden,Sweden
ELUX A,Electrolux A,ELUX-A.ST,Nasdaq Stockholm / Sweden,Sweden
ELUX B,Electrolux B,ELUX-B.ST,Nasdaq Stockholm / Sweden,Sweden
EMBRAC B,Embracer Group B,EMBRAC-B.ST,Nasdaq Stockholm / Sweden,Sweden
EMIL B,Fastighetsbolaget Emilshus B,EMIL-B.ST,Nasdaq Stockholm / Sweden,Sweden
EMIL PREF,Fastighetsbolag. Emilshus Pref,EMIL-PREF.ST,Nasdaq Stockholm / Sweden,Sweden
ENEA,Enea,ENEA.ST,Nasdaq Stockholm / Sweden,Sweden
ENGCON B,engcon B,ENGCON-B.ST,Nasdaq Stockholm / Sweden,Sweden
ENITY,Enity Holding,ENITY.ST,Nasdaq Stockholm / Sweden,Sweden
ENRO,Eniro Group,ENRO.ST,Nasdaq Stockholm / Sweden,Sweden
EOLU B,Eolus B,EOLU-B.ST,Nasdaq Stockholm / Sweden,Sweden
EPEN,Ependion,EPEN.ST,Nasdaq Stockholm / Sweden,Sweden
EPI A,Epiroc A,EPI-A.ST,Nasdaq Stockholm / Sweden,Sweden
EPI B,Epiroc B,EPI-B.ST,Nasdaq Stockholm / Sweden,Sweden
EPIS B,Episurf B,EPIS-B.ST,Nasdaq Stockholm / Sweden,Sweden
EPRO B,Electrolux Professional B,EPRO-B.ST,Nasdaq Stockholm / Sweden,Sweden
EQL,EQL Pharma,EQL.ST,Nasdaq Stockholm / Sweden,Sweden
EQT,EQT,EQT.ST,Nasdaq Stockholm / Sweden,Sweden
ERIC A,Ericsson A,ERIC-A.ST,Nasdaq Stockholm / Sweden,Sweden
ERIC B,Ericsson B,ERIC-B.ST,Nasdaq Stockholm / Sweden,Sweden
ESSITY A,Essity A,ESSITY-A.ST,Nasdaq Stockholm / Sweden,Sweden
ESSITY B,Essity B,ESSITY-B.ST,Nasdaq Stockholm / Sweden,Sweden
EVO,Evolution,EVO.ST,Nasdaq Stockholm / Sweden,Sweden
EWRK,Ework Group,EWRK.ST,Nasdaq Stockholm / Sweden,Sweden
FABG,Fabege,FABG.ST,Nasdaq Stockholm / Sweden,Sweden
FAG,Fagerhult Group,FAG.ST,Nasdaq Stockholm / Sweden,Sweden
FASTAT,Fastator,FASTAT.ST,Nasdaq Stockholm / Sweden,Sweden
FG,Fasadgruppen Group,FG.ST,Nasdaq Stockholm / Sweden,Sweden
FING B,Fingerprint Cards B,FING-B.ST,Nasdaq Stockholm / Sweden,Sweden
FLERIE,Flerie,FLERIE.ST,Nasdaq Stockholm / Sweden,Sweden
FMM B,FM Mattsson B,FMM-B.ST,Nasdaq Stockholm / Sweden,Sweden
FNM,Ferronordic,FNM.ST,Nasdaq Stockholm / Sweden,Sweden
FNOVA B,Fortinova Fastigheter ser. B,FNOVA-B.ST,Nasdaq Stockholm / Sweden,Sweden
FOI B,Fenix Outdoor International B,FOI-B.ST,Nasdaq Stockholm / Sweden,Sweden
FPAR A,Fastpartner A,FPAR-A.ST,Nasdaq Stockholm / Sweden,Sweden
FPAR D,Fastpartner D,FPAR-D.ST,Nasdaq Stockholm / Sweden,Sweden
FPIP,Formpipe Software,FPIP.ST,Nasdaq Stockholm / Sweden,Sweden
G2M,Gentoo Media,G2M.ST,Nasdaq Stockholm / Sweden,Sweden
G5EN,G5 Entertainment,G5EN.ST,Nasdaq Stockholm / Sweden,Sweden
GARO,Garo,GARO.ST,Nasdaq Stockholm / Sweden,Sweden
GETI B,Getinge B,GETI-B.ST,Nasdaq Stockholm / Sweden,Sweden
GPG,Genova Property Group,GPG.ST,Nasdaq Stockholm / Sweden,Sweden
GREEN,Green Landscaping Group,GREEN.ST,Nasdaq Stockholm / Sweden,Sweden
GRNG,Gränges,GRNG.ST,Nasdaq Stockholm / Sweden,Sweden
HACK,Hacksaw,HACK.ST,Nasdaq Stockholm / Sweden,Sweden
HAKI A,HAKI Safety A,HAKI-A.ST,Nasdaq Stockholm / Sweden,Sweden
HAKI B,HAKI Safety B,HAKI-B.ST,Nasdaq Stockholm / Sweden,Sweden
HANZA,HANZA,HANZA.ST,Nasdaq Stockholm / Sweden,Sweden
HAV B,Havsfrun Investment B,HAV-B.ST,Nasdaq Stockholm / Sweden,Sweden
HEBA B,HEBA B,HEBA-B.ST,Nasdaq Stockholm / Sweden,Sweden
HEM,Hemnet Group,HEM.ST,Nasdaq Stockholm / Sweden,Sweden
HEXA B,Hexagon B,HEXA-B.ST,Nasdaq Stockholm / Sweden,Sweden
HM B,Hennes & Mauritz B,HM-B.ST,Nasdaq Stockholm / Sweden,Sweden
HMS,HMS Networks,HMS.ST,Nasdaq Stockholm / Sweden,Sweden
HNSA,Hansa Biopharma,HNSA.ST,Nasdaq Stockholm / Sweden,Sweden
HOFI,Hoist Finance,HOFI.ST,Nasdaq Stockholm / Sweden,Sweden
HOLM A,Holmen A,HOLM-A.ST,Nasdaq Stockholm / Sweden,Sweden
HOLM B,Holmen B,HOLM-B.ST,Nasdaq Stockholm / Sweden,Sweden
HPOL B,HEXPOL B,HPOL-B.ST,Nasdaq Stockholm / Sweden,Sweden
HTRO,Hexatronic Group,HTRO.ST,Nasdaq Stockholm / Sweden,Sweden
HUFV A,Hufvudstaden A,HUFV-A.ST,Nasdaq Stockholm / Sweden,Sweden
HUM,Humana,HUM.ST,Nasdaq Stockholm / Sweden,Sweden
HUMBLE,Humble Group,HUMBLE.ST,Nasdaq Stockholm / Sweden,Sweden
HUSQ A,Husqvarna A,HUSQ-A.ST,Nasdaq Stockholm / Sweden,Sweden
HUSQ B,Husqvarna B,HUSQ-B.ST,Nasdaq Stockholm / Sweden,Sweden
IBT B,Infant Bacterial TherapeuticsB,IBT-B.ST,Nasdaq Stockholm / Sweden,Sweden
IMMNOV,Immunovia,IMMNOV.ST,Nasdaq Stockholm / Sweden,Sweden
IMMU,Mendus,IMMU.ST,Nasdaq Stockholm / Sweden,Sweden
INDT,Indutrade,INDT.ST,Nasdaq Stockholm / Sweden,Sweden
INDU A,Industrivärden A,INDU-A.ST,Nasdaq Stockholm / Sweden,Sweden
INDU C,Industrivärden C,INDU-C.ST,Nasdaq Stockholm / Sweden,Sweden
INFREA,Infrea,INFREA.ST,Nasdaq Stockholm / Sweden,Sweden
INISS B,Inission B,INISS-B.ST,Nasdaq Stockholm / Sweden,Sweden
INSTAL,Instalco,INSTAL.ST,Nasdaq Stockholm / Sweden,Sweden
INTEA B,Intea Fastigheter B,INTEA-B.ST,Nasdaq Stockholm / Sweden,Sweden
INTEA D,Intea Fastigheter D,INTEA-D.ST,Nasdaq Stockholm / Sweden,Sweden
INTRUM,Intrum,INTRUM.ST,Nasdaq Stockholm / Sweden,Sweden
INVE A,Investor A,INVE-A.ST,Nasdaq Stockholm / Sweden,Sweden
INVE B,Investor B,INVE-B.ST,Nasdaq Stockholm / Sweden,Sweden
INWI,Inwido,INWI.ST,Nasdaq Stockholm / Sweden,Sweden
IPCO,International Petroleum Corp.,IPCO.ST,Nasdaq Stockholm / Sweden,Sweden
IRLAB A,IRLAB Therapeutics A,IRLAB-A.ST,Nasdaq Stockholm / Sweden,Sweden
IS,Image Systems,IS.ST,Nasdaq Stockholm / Sweden,Sweden
ISOFOL,Isofol Medical,ISOFOL.ST,Nasdaq Stockholm / Sweden,Sweden
ITAB,ITAB Shop Concept,ITAB.ST,Nasdaq Stockholm / Sweden,Sweden
IVSO,INVISIO,IVSO.ST,Nasdaq Stockholm / Sweden,Sweden
JM,JM,JM.ST,Nasdaq Stockholm / Sweden,Sweden
JOMA,John Mattson Fastighetsföret.,JOMA.ST,Nasdaq Stockholm / Sweden,Sweden
K2A B,K2A Knaust & Andersson B,K2A-B.ST,Nasdaq Stockholm / Sweden,Sweden
K2A PREF,K2A Knaust & Andersson Pref,K2A-PREF.ST,Nasdaq Stockholm / Sweden,Sweden
KABE B,KABE Group B,KABE-B.ST,Nasdaq Stockholm / Sweden,Sweden
KAR,Karnov Group,KAR.ST,Nasdaq Stockholm / Sweden,Sweden
KARNEL B,Karnell Group B,KARNEL-B.ST,Nasdaq Stockholm / Sweden,Sweden
KDV B,KDventures B,KDV-B.ST,Nasdaq Stockholm / Sweden,Sweden
KFAST B,K-Fast Holding B,KFAST-B.ST,Nasdaq Stockholm / Sweden,Sweden
KINV A,Kinnevik A,KINV-A.ST,Nasdaq Stockholm / Sweden,Sweden
KINV B,Kinnevik B,KINV-B.ST,Nasdaq Stockholm / Sweden,Sweden
KLARA B,KlaraBo Sverige B,KLARA-B.ST,Nasdaq Stockholm / Sweden,Sweden
KNOW,Knowit,KNOW.ST,Nasdaq Stockholm / Sweden,Sweden
LAGR B,Lagercrantz Group B,LAGR-B.ST,Nasdaq Stockholm / Sweden,Sweden
LAMM B,Lammhults Design Group B,LAMM-B.ST,Nasdaq Stockholm / Sweden,Sweden
LATO B,Latour B,LATO-B.ST,Nasdaq Stockholm / Sweden,Sweden
LIAB,Lindab International,LIAB.ST,Nasdaq Stockholm / Sweden,Sweden
LIFCO B,Lifco B,LIFCO-B.ST,Nasdaq Stockholm / Sweden,Sweden
LIME,Lime Technologies,LIME.ST,Nasdaq Stockholm / Sweden,Sweden
LINC,Linc,LINC.ST,Nasdaq Stockholm / Sweden,Sweden
LOGI A,Logistea A,LOGI-A.ST,Nasdaq Stockholm / Sweden,Sweden
LOGI B,Logistea B,LOGI-B.ST,Nasdaq Stockholm / Sweden,Sweden
LOOMIS,Loomis,LOOMIS.ST,Nasdaq Stockholm / Sweden,Sweden
LUG,Lundin Gold,LUG.ST,Nasdaq Stockholm / Sweden,Sweden
LUMI,Lundin Mining Corporation,LUMI.ST,Nasdaq Stockholm / Sweden,Sweden
LUND B,Lundbergföretagen B,LUND-B.ST,Nasdaq Stockholm / Sweden,Sweden
MAHA A,Maha Capital,MAHA-A.ST,Nasdaq Stockholm / Sweden,Sweden
MANG,Mangold,MANG.ST,Nasdaq Stockholm / Sweden,Sweden
MCAP,MedCap,MCAP.ST,Nasdaq Stockholm / Sweden,Sweden
MCOV B,Medicover B,MCOV-B.ST,Nasdaq Stockholm / Sweden,Sweden
MEAB B,Malmbergs Elektriska B,MEAB-B.ST,Nasdaq Stockholm / Sweden,Sweden
MEKO,MEKO,MEKO.ST,Nasdaq Stockholm / Sweden,Sweden
MER,Meren Energy,MER.ST,Nasdaq Stockholm / Sweden,Sweden
MILDEF,Mildef Group,MILDEF.ST,Nasdaq Stockholm / Sweden,Sweden
MIPS,Mips,MIPS.ST,Nasdaq Stockholm / Sweden,Sweden
MMGR B,Momentum Group B,MMGR-B.ST,Nasdaq Stockholm / Sweden,Sweden
MOB,Moberg Pharma,MOB.ST,Nasdaq Stockholm / Sweden,Sweden
MOMENT,Moment Group,MOMENT.ST,Nasdaq Stockholm / Sweden,Sweden
MORROW,Morrow Bank,MORROW.ST,Nasdaq Stockholm / Sweden,Sweden
MSAB B,Micro Systemation B,MSAB-B.ST,Nasdaq Stockholm / Sweden,Sweden
MSON A,Midsona A,MSON-A.ST,Nasdaq Stockholm / Sweden,Sweden
MSON B,Midsona B,MSON-B.ST,Nasdaq Stockholm / Sweden,Sweden
MTG A,Modern Times Group A,MTG-A.ST,Nasdaq Stockholm / Sweden,Sweden
MTG B,Modern Times Group B,MTG-B.ST,Nasdaq Stockholm / Sweden,Sweden
MTRS,Munters Group,MTRS.ST,Nasdaq Stockholm / Sweden,Sweden
MVIR,Medivir,MVIR.ST,Nasdaq Stockholm / Sweden,Sweden
MYCR,Mycronic,MYCR.ST,Nasdaq Stockholm / Sweden,Sweden
NAXS,NAXS,NAXS.ST,Nasdaq Stockholm / Sweden,Sweden
NCAB,NCAB Group,NCAB.ST,Nasdaq Stockholm / Sweden,Sweden
NCC A,NCC A,NCC-A.ST,Nasdaq Stockholm / Sweden,Sweden
NCC B,NCC B,NCC-B.ST,Nasdaq Stockholm / Sweden,Sweden
NDA SE,Nordea Bank Abp,NDA-SE.ST,Nasdaq Stockholm / Sweden,Sweden
NELLY,Nelly Group,NELLY.ST,Nasdaq Stockholm / Sweden,Sweden
NEOBO,Neobo Fastigheter,NEOBO.ST,Nasdaq Stockholm / Sweden,Sweden
NETEL,Netel Holding,NETEL.ST,Nasdaq Stockholm / Sweden,Sweden
NETI B,Net Insight B,NETI-B.ST,Nasdaq Stockholm / Sweden,Sweden
NEWA B,New Wave B,NEWA-B.ST,Nasdaq Stockholm / Sweden,Sweden
NIBE B,NIBE Industrier B,NIBE-B.ST,Nasdaq Stockholm / Sweden,Sweden
NICA,Nanologica,NICA.ST,Nasdaq Stockholm / Sweden,Sweden
NIL B,Nilörngruppen B,NIL-B.ST,Nasdaq Stockholm / Sweden,Sweden
NIVI B,Nivika Fastigheter B,NIVI-B.ST,Nasdaq Stockholm / Sweden,Sweden
NMAN,Nederman Holding,NMAN.ST,Nasdaq Stockholm / Sweden,Sweden
NOBA,NOBA Bank Group,NOBA.ST,Nasdaq Stockholm / Sweden,Sweden
NOBI,Nobia,NOBI.ST,Nasdaq Stockholm / Sweden,Sweden
NOLA B,Nolato B,NOLA-B.ST,Nasdaq Stockholm / Sweden,Sweden
NORB B,Nordisk Bergteknik B,NORB-B.ST,Nasdaq Stockholm / Sweden,Sweden
NORION,Norion Bank,NORION.ST,Nasdaq Stockholm / Sweden,Sweden
NOTE,NOTE,NOTE.ST,Nasdaq Stockholm / Sweden,Sweden
NP3,NP3 Fastigheter,NP3.ST,Nasdaq Stockholm / Sweden,Sweden
NP3 PREF,NP3 Fastigheter Pref,NP3-PREF.ST,Nasdaq Stockholm / Sweden,Sweden
NTEK B,NOVOTEK B,NTEK-B.ST,Nasdaq Stockholm / Sweden,Sweden
NYF,Nyfosa,NYF.ST,Nasdaq Stockholm / Sweden,Sweden
OEM B,OEM International B,OEM-B.ST,Nasdaq Stockholm / Sweden,Sweden
ONCO,Oncopeptides,ONCO.ST,Nasdaq Stockholm / Sweden,Sweden
ORES,Öresund,ORES.ST,Nasdaq Stockholm / Sweden,Sweden
ORRON,Orrön Energy,ORRON.ST,Nasdaq Stockholm / Sweden,Sweden
ORX,Orexo,ORX.ST,Nasdaq Stockholm / Sweden,Sweden
OVZON,Ovzon,OVZON.ST,Nasdaq Stockholm / Sweden,Sweden
PACT,Proact IT Group,PACT.ST,Nasdaq Stockholm / Sweden,Sweden
PCELL,PowerCell Sweden,PCELL.ST,Nasdaq Stockholm / Sweden,Sweden
PEAB B,Peab B,PEAB-B.ST,Nasdaq Stockholm / Sweden,Sweden
PIERCE,Pierce Group,PIERCE.ST,Nasdaq Stockholm / Sweden,Sweden
PION B,PION Group B,PION-B.ST,Nasdaq Stockholm / Sweden,Sweden
PLAZ B,Platzer Fastigheter Holding B,PLAZ-B.ST,Nasdaq Stockholm / Sweden,Sweden
PNDX B,Pandox B,PNDX-B.ST,Nasdaq Stockholm / Sweden,Sweden
PREC,Precise Biometrics,PREC.ST,Nasdaq Stockholm / Sweden,Sweden
PREV B,Prevas B,PREV-B.ST,Nasdaq Stockholm / Sweden,Sweden
PRFO,Profoto Holding,PRFO.ST,Nasdaq Stockholm / Sweden,Sweden
PRIC B,Pricer B,PRIC-B.ST,Nasdaq Stockholm / Sweden,Sweden
PRISMA,Prisma Properties,PRISMA.ST,Nasdaq Stockholm / Sweden,Sweden
PROF B,Profilgruppen B,PROF-B.ST,Nasdaq Stockholm / Sweden,Sweden
QLINEA,Q-Linea,QLINEA.ST,Nasdaq Stockholm / Sweden,Sweden
QLIRO,Qliro,QLIRO.ST,Nasdaq Stockholm / Sweden,Sweden
RAIL,Railcare Group,RAIL.ST,Nasdaq Stockholm / Sweden,Sweden
RATO A,Ratos A,RATO-A.ST,Nasdaq Stockholm / Sweden,Sweden
RATO B,Ratos B,RATO-B.ST,Nasdaq Stockholm / Sweden,Sweden
RAY B,RaySearch Laboratories B,RAY-B.ST,Nasdaq Stockholm / Sweden,Sweden
REJL B,Rejlers B,REJL-B.ST,Nasdaq Stockholm / Sweden,Sweden
ROKO B,Röko B,ROKO-B.ST,Nasdaq Stockholm / Sweden,Sweden
RROS,Rottneros,RROS.ST,Nasdaq Stockholm / Sweden,Sweden
RUSTA,Rusta,RUSTA.ST,Nasdaq Stockholm / Sweden,Sweden
RVRC,RVRC Holding,RVRC.ST,Nasdaq Stockholm / Sweden,Sweden
SAAB B,SAAB B,SAAB-B.ST,Nasdaq Stockholm / Sweden,Sweden
SAFETY B,mySafety Group B,SAFETY-B.ST,Nasdaq Stockholm / Sweden,Sweden
SAGA A,Sagax A,SAGA-A.ST,Nasdaq Stockholm / Sweden,Sweden
SAGA B,Sagax B,SAGA-B.ST,Nasdaq Stockholm / Sweden,Sweden
SAGA D,Sagax D,SAGA-D.ST,Nasdaq Stockholm / Sweden,Sweden
SAMPO SEK,Sampo Oyj A,SAMPO-SEK.ST,Nasdaq Stockholm / Sweden,Sweden
SAND,Sandvik,SAND.ST,Nasdaq Stockholm / Sweden,Sweden
SANION,Saniona,SANION.ST,Nasdaq Stockholm / Sweden,Sweden
SAVE,Nordnet,SAVE.ST,Nasdaq Stockholm / Sweden,Sweden
SBB B,Samhällsbyggnadsbo. i Norden B,SBB-B.ST,Nasdaq Stockholm / Sweden,Sweden
SBB D,Samhällsbyggnadsbo. i Norden D,SBB-D.ST,Nasdaq Stockholm / Sweden,Sweden
SCA A,SCA A,SCA-A.ST,Nasdaq Stockholm / Sweden,Sweden
SCA B,SCA B,SCA-B.ST,Nasdaq Stockholm / Sweden,Sweden
SCST,Scandi Standard,SCST.ST,Nasdaq Stockholm / Sweden,Sweden
SDIP B,Sdiptech B,SDIP-B.ST,Nasdaq Stockholm / Sweden,Sweden
SEAF,Seafire,SEAF.ST,Nasdaq Stockholm / Sweden,Sweden
